gradient_path,digit_1_idx,digit_2_idx
Raw/gradients/grad_0654.png,7296,1639
Raw/gradients/grad_0759.png,18024,16049
Raw/gradients/grad_0228.png,9144,48265
Raw/gradients/grad_0104.png,44348,48540
Raw/gradients/grad_0913.png,35741,5697
Raw/gradients/grad_0604.png,27651,2082
Raw/gradients/grad_0030.png,6140,14328
Raw/gradients/grad_0238.png,33118,39453
Raw/gradients/grad_0027.png,36781,13031
Raw/gradients/grad_0733.png,42590,45962
Raw/gradients/grad_0558.png,27493,14446
Raw/gradients/grad_0459.png,38618,18231
Raw/gradients/grad_0828.png,56970,425
Raw/gradients/grad_0777.png,52810,10463
Raw/gradients/grad_0714.png,27696,22298
Raw/gradients/grad_0284.png,10189,14110
Raw/gradients/grad_0980.png,50036,22059
Raw/gradients/grad_0104.png,6078,24898
Raw/gradients/grad_0099.png,23526,55541
Raw/gradients/grad_0352.png,39565,17335
Raw/gradients/grad_0826.png,2847,47823
Raw/gradients/grad_0470.png,35142,8180
Raw/gradients/grad_0996.png,24807,5164
Raw/gradients/grad_0565.png,19213,54355
Raw/gradients/grad_0643.png,40535,58028
Raw/gradients/grad_0882.png,23700,37837
Raw/gradients/grad_0196.png,46174,4558
Raw/gradients/grad_0046.png,43336,14935
Raw/gradients/grad_0791.png,18965,5229
Raw/gradients/grad_0875.png,15256,56785
Raw/gradients/grad_0103.png,24911,18217
Raw/gradients/grad_0464.png,41660,54664
Raw/gradients/grad_0373.png,10659,24260
Raw/gradients/grad_0363.png,13730,43920
Raw/gradients/grad_0273.png,45994,44796
Raw/gradients/grad_0663.png,4679,39920
Raw/gradients/grad_0650.png,11215,35005
Raw/gradients/grad_0746.png,16043,10708
Raw/gradients/grad_0473.png,24867,17691
Raw/gradients/grad_0947.png,41943,45099
Raw/gradients/grad_0570.png,14392,44866
Raw/gradients/grad_0332.png,55237,50352
Raw/gradients/grad_0794.png,3665,15010
Raw/gradients/grad_0841.png,2103,52759
